title,location2,present_as,audience_type,date,audience_desc,location1
"In order to eliminate the threat of famine, Russia's efforts to return to the aggressive policy of colonialism must end",African Union,Virtual,Multi-national,20/06/2022,Address at the session of the bureau of the assembly of the african union,Senegal
We need to do even more for Ukraine to win,"Indonesia, France, USA, EU, others (full list unclear)",Virtual,Multi-national,20/06/2022,Address at the opening of the ispi global policy forum,Italy
I believe that the power of human creativity is greater than the power of a nuclear state,France,Virtual,Multi-national,21/06/2023,Speech  to the participants of the cannes lions international festival,France
"Address by President of Ukraine Volodymyr Zelenskyy to the participants of the Embrace Ukraine - #StrivingTogether charity telethon, which took place in Amsterdam",Netherlands,Virtual,National,22/06/2022,"Speech to the participants of the embrace ukraine - #strivingtogether charity telethon, which took place in amsterdam",Netherlands
"We are fighting for our future, our freedom, our land and the opportunity to build a new Ukraine",Canada,Virtual,National,22/06/2022,Speech to the student community of major canadian universities,Canada
This is the biggest step towards strengthening Europe that could be taken right now,European Union,Virtual,Multi-national,23/06/2022,Address to the participants of the eu summit after granting ukraine the status of a candidate for membership,Belgium
"Share the feeling of freedom, spread the truth about Russia’s war, help Ukrainians",United Kingdom,Virtual,National,24/06/2022,Speech to the glastonbury festival participants,United Kingdom
"Ukraine became a candidate for EU membership, Georgia is on this path",Georgia,Virtual,National,25/06/2022,"Speech to the participants of the ""home, to europe"" rally in tbilisi",Georgia
"It is necessary that Russia stops killing people, it is necessary to bring it to justice for terrorism",UN nations,Virtual,Multi-national,29/06/2022,Speech at the meeting of the un security council,United States
You have to find a place for Ukraine in the common security space,"NATO states: Albania, Belgium, Bulgaria, Canada, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Lithuania, Luxembourg, Montenegro, Netherlands, Norway, Poland, Portugal, the Republic of Macedo",Virtual,Multi-national,29/06/2022,Speech at the nato summit,Spain
We are obliged to win the war unleashed by Russia for the hopes of all nations for a peaceful future to be realized,Austria,Virtual,Multi-national,1/07/2022,Address to the participants of the 4gamechangers festival in vienna,Austria
